"Timestamp","Role","Age","Field of Study","Enter your city name","Education Level","Have you used AI-powered learning tools?","If yes, which AI tools have you used?","Which is better for personalised learning? ","How well can AI teach complex subjects?","Challenges of AI Replacing Professors (Select all that apply)","Will AI fully replace professors?","AI should be used as?"
"2025/03/10 3:12:56 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chat gpt ","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 7:18:06 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Undergraduate","Yes","Google assistant, chatgpt, meta ,Siri","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 7:18:56 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt,Deepseek, co-pilot ","Human Professors","3","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 7:24:02 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Meta AI","Both","3","Ethical Concerns","Yes","Co-Professor"
"2025/03/10 7:27:29 PM GMT+5:30","Student","Below 18","Medicine & Health","Pudukkottai ","Other","Yes","Chat gpt, ","Human Professors","3","Lack of Emotional Intelligence;Ethical Concerns","No","Teaching Assistant"
"2025/03/10 7:43:37 PM GMT+5:30","Student","Below 18","Science, Technology, Engineering & Math (STEM)","Pudukkottai","Other","No","no","Both","3","Limited Creativity","Yes","Co-Professor"
"2025/03/10 8:43:23 PM GMT+5:30","Student","18-25","Medicine & Health","Karaikudi ","Undergraduate","No","-","Human Professors","2","Limited Creativity","Partially","Co-Professor"
"2025/03/10 8:47:30 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Madurai","Undergraduate","Yes","Chatgpt, meta,","Both","5","Limited Creativity","No","Co-Professor"
"2025/03/10 8:47:47 PM GMT+5:30","Student","18-25","Other","Karaikudi ","Undergraduate","Yes","Chatgpt and deepseek","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","Partially","Co-Professor"
"2025/03/10 8:55:41 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Deepseek","Both","4","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","No","Teaching Assistant"
"2025/03/10 8:56:18 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Pudukkottai ","Undergraduate","Yes","Chatgpt and deepseek","Both","5","Lack of Emotional Intelligence;Risk of Bias in AI","Partially","Teaching Assistant"
"2025/03/10 9:00:13 PM GMT+5:30","Student","Below 18","Business & Management","Yuvan krishna","Other","Yes","Chat gpt","Both","5","Lack of Emotional Intelligence;Ethical Concerns","No","Teaching Assistant"
"2025/03/10 9:26:34 PM GMT+5:30","Student","18-25","Science, Technology, Engineering & Math (STEM)","Kuzhithurai ","Undergraduate","Yes","Chatgpt","Both","4","Limited Creativity","No","Teaching Assistant"
"2025/03/10 10:20:22 PM GMT+5:30","Student","18-25","Medicine & Health","Ponnamaravathi ","Undergraduate","Yes","Meta AI","Both","5","Lack of Emotional Intelligence;Ethical Concerns;Limited Creativity;Risk of Bias in AI","No","Co-Professor"
